# Second test
 -3.54755807  70.34668799
 -3.56071496  71.41987387
 -3.57635238  72.49374363
 -3.59447340  73.56841523
 -3.61508151  74.64400684
 -3.63818072  75.72064320
 -3.66377532  76.79843417
 -3.69187008  77.87750298
 -3.72247012  78.95796941
 -3.75558091  80.03995368
 -3.79120825  81.12357647
 -3.82935825  82.20895892
 -3.87004772  83.29621962
 -3.91326706  84.38548539
 -3.95903033  85.47687671
 -4.00734486  86.57051669
 -4.05821813  87.66652905
 -4.11165784  88.76503817
 -4.16767188  89.86616904
 -4.22626830  90.97004718
 -4.28745512  92.07679836
 -4.35123998  93.18654821
 -4.41762981  94.29942231
 -4.48662990  95.41554894
 -4.55824675  96.53504696
 -4.63249421  97.65805715
 -4.70936491  98.78469725
 -4.78888208  99.91509564
 -4.87103094 101.04939236
 -4.95582272 102.18770018
 -5.04326175 103.33015239
 -5.13335340 104.47687483
 -5.22609894 105.62799219
 -5.32149554 106.78362914
 -5.41953834 107.94391019
 -5.52022158 109.10895879
 -5.62353838 110.27889660
 -5.72947221 111.45383373
 -5.83803156 112.63391128
 -5.94918971 113.81922620
 -6.06293036 115.00989098
 -6.17923273 116.20601623
 -6.29807711 117.40770048
 -6.41943040 118.61504938
 -6.54326513 119.82815628
 -6.66954244 121.04710807
 -6.79822036 122.27198990
 -6.92925328 123.50287446
 -7.06258820 124.73983165
 -7.19816662 125.98292014
 -7.33592359 127.23218987
 -7.47577631 128.48767398
 -7.61765768 129.74940929
 -7.76147443 131.01740793
 -7.90712980 132.29167216
 -8.05451818 133.57218978
 -8.20353345 134.85891619
 -8.35403769 136.15183192
 -7.56679042 -10.02842909
 -7.41340126  -8.71625547
 -7.26110853  -7.41013129
 -7.11006741  -6.11015448
 -6.96041818  -4.81640476
 -6.81229085  -3.52894182
 -6.66580619  -2.24780703
 -6.52107758  -0.97302517
 -6.37820413   0.29539441
 -6.23727972   1.55745696
 -6.09839050   2.81318244
 -5.96161193   4.06260093
 -5.82701358   5.30575427
 -5.69466066   6.54269650
 -5.56460604   7.77348864
